V1	I(D1)
-1.320000000000000e+00	-2.521320e-09
-1.310000000000000e+00	-2.521310e-09
-1.300000000000000e+00	-2.521300e-09
-1.290000000000000e+00	-2.521290e-09
-1.280000000000000e+00	-2.521280e-09
-1.270000000000000e+00	-2.521270e-09
-1.260000000000000e+00	-2.521260e-09
-1.250000000000000e+00	-2.521250e-09
-1.240000000000000e+00	-2.521240e-09
-1.230000000000000e+00	-2.521230e-09
-1.220000000000000e+00	-2.521220e-09
-1.210000000000000e+00	-2.521210e-09
-1.200000000000000e+00	-2.521200e-09
-1.190000000000000e+00	-2.521190e-09
-1.180000000000000e+00	-2.521180e-09
-1.170000000000000e+00	-2.521170e-09
-1.160000000000000e+00	-2.521160e-09
-1.150000000000000e+00	-2.521150e-09
-1.140000000000000e+00	-2.521140e-09
-1.130000000000000e+00	-2.521130e-09
-1.120000000000000e+00	-2.521120e-09
-1.110000000000000e+00	-2.521110e-09
-1.100000000000000e+00	-2.521100e-09
-1.090000000000000e+00	-2.521090e-09
-1.080000000000000e+00	-2.521080e-09
-1.070000000000000e+00	-2.521070e-09
-1.060000000000000e+00	-2.521060e-09
-1.050000000000000e+00	-2.521050e-09
-1.040000000000000e+00	-2.521040e-09
-1.030000000000000e+00	-2.521030e-09
-1.020000000000000e+00	-2.521020e-09
-1.010000000000000e+00	-2.521010e-09
-1.000000000000000e+00	-2.521000e-09
-9.900000000000002e-01	-2.520990e-09
-9.799999999999995e-01	-2.520980e-09
-9.699999999999998e-01	-2.520970e-09
-9.600000000000000e-01	-2.520960e-09
-9.500000000000002e-01	-2.520950e-09
-9.399999999999995e-01	-2.520940e-09
-9.299999999999997e-01	-2.520930e-09
-9.199999999999999e-01	-2.520920e-09
-9.100000000000001e-01	-2.520910e-09
-9.000000000000004e-01	-2.520900e-09
-8.899999999999997e-01	-2.520890e-09
-8.799999999999999e-01	-2.520880e-09
-8.700000000000001e-01	-2.520870e-09
-8.600000000000003e-01	-2.520860e-09
-8.499999999999996e-01	-2.520850e-09
-8.399999999999999e-01	-2.520840e-09
-8.300000000000001e-01	-2.520830e-09
-8.200000000000003e-01	-2.520820e-09
-8.099999999999996e-01	-2.520810e-09
-7.999999999999998e-01	-2.520800e-09
-7.900000000000000e-01	-2.520790e-09
-7.800000000000002e-01	-2.520780e-09
-7.699999999999996e-01	-2.520770e-09
-7.599999999999998e-01	-2.520760e-09
-7.500000000000000e-01	-2.520750e-09
-7.400000000000002e-01	-2.520740e-09
-7.299999999999995e-01	-2.520730e-09
-7.199999999999998e-01	-2.520720e-09
-7.100000000000000e-01	-2.520710e-09
-7.000000000000002e-01	-2.520700e-09
-6.899999999999995e-01	-2.520689e-09
-6.799999999999997e-01	-2.520679e-09
-6.699999999999999e-01	-2.520669e-09
-6.600000000000001e-01	-2.520659e-09
-6.499999999999995e-01	-2.520649e-09
-6.399999999999997e-01	-2.520638e-09
-6.299999999999999e-01	-2.520628e-09
-6.200000000000001e-01	-2.520617e-09
-6.100000000000003e-01	-2.520606e-09
-5.999999999999996e-01	-2.520596e-09
-5.899999999999999e-01	-2.520584e-09
-5.800000000000001e-01	-2.520573e-09
-5.700000000000003e-01	-2.520561e-09
-5.599999999999996e-01	-2.520549e-09
-5.499999999999998e-01	-2.520536e-09
-5.400000000000000e-01	-2.520523e-09
-5.300000000000002e-01	-2.520509e-09
-5.199999999999996e-01	-2.520494e-09
-5.099999999999998e-01	-2.520478e-09
-5.000000000000000e-01	-2.520459e-09
-4.900000000000002e-01	-2.520439e-09
-4.799999999999995e-01	-2.520417e-09
-4.699999999999998e-01	-2.520391e-09
-4.600000000000000e-01	-2.520362e-09
-4.500000000000002e-01	-2.520327e-09
-4.399999999999995e-01	-2.520287e-09
-4.299999999999997e-01	-2.520239e-09
-4.199999999999999e-01	-2.520182e-09
-4.100000000000001e-01	-2.520113e-09
-3.999999999999995e-01	-2.520030e-09
-3.899999999999997e-01	-2.519929e-09
-3.799999999999999e-01	-2.519805e-09
-3.700000000000001e-01	-2.519653e-09
-3.600000000000003e-01	-2.519466e-09
-3.499999999999996e-01	-2.519236e-09
-3.399999999999999e-01	-2.518950e-09
-3.300000000000001e-01	-2.518597e-09
-3.200000000000003e-01	-2.518159e-09
-3.099999999999996e-01	-2.517616e-09
-2.999999999999998e-01	-2.516941e-09
-2.900000000000000e-01	-2.516101e-09
-2.800000000000002e-01	-2.515057e-09
-2.699999999999996e-01	-2.513757e-09
-2.599999999999998e-01	-2.512139e-09
-2.500000000000000e-01	-2.510124e-09
-2.400000000000002e-01	-2.507613e-09
-2.299999999999995e-01	-2.504486e-09
-2.199999999999998e-01	-2.500588e-09
-2.100000000000000e-01	-2.495731e-09
-2.000000000000002e-01	-2.489676e-09
-1.899999999999995e-01	-2.482129e-09
-1.799999999999997e-01	-2.472721e-09
-1.699999999999999e-01	-2.460993e-09
-1.600000000000001e-01	-2.446370e-09
-1.499999999999995e-01	-2.428141e-09
-1.399999999999997e-01	-2.405412e-09
-1.299999999999999e-01	-2.377073e-09
-1.200000000000001e-01	-2.341740e-09
-1.100000000000003e-01	-2.297684e-09
-9.999999999999964e-02	-2.242753e-09
-8.999999999999986e-02	-2.174261e-09
-8.000000000000007e-02	-2.088860e-09
-7.000000000000028e-02	-1.982374e-09
-5.999999999999961e-02	-1.849597e-09
-4.999999999999982e-02	-1.684037e-09
-4.000000000000004e-02	-1.477601e-09
-3.000000000000025e-02	-1.220195e-09
-1.999999999999957e-02	-8.992331e-10
-9.999999999999787e-03	-4.990239e-10
0.000000000000000e+00	0.000000e+00
9.999999999999787e-03	6.222367e-10
2.000000000000046e-02	1.398108e-09
3.000000000000025e-02	2.365547e-09
4.000000000000004e-02	3.571850e-09
4.999999999999982e-02	5.075992e-09
6.000000000000050e-02	6.951504e-09
7.000000000000028e-02	9.290069e-09
8.000000000000007e-02	1.220600e-08
8.999999999999986e-02	1.584182e-08
1.000000000000005e-01	2.037523e-08
1.100000000000003e-01	2.602776e-08
1.200000000000001e-01	3.307561e-08
1.299999999999999e-01	4.186309e-08
1.399999999999997e-01	5.281941e-08
1.500000000000004e-01	6.647955e-08
1.600000000000001e-01	8.351032e-08
1.699999999999999e-01	1.047427e-07
1.799999999999997e-01	1.312122e-07
1.900000000000004e-01	1.642088e-07
2.000000000000002e-01	2.053394e-07
2.100000000000000e-01	2.566049e-07
2.199999999999998e-01	3.204964e-07
2.300000000000004e-01	4.001132e-07
2.400000000000002e-01	4.993105e-07
2.500000000000000e-01	6.228797e-07
2.599999999999998e-01	7.767716e-07
2.700000000000005e-01	9.683696e-07
2.800000000000002e-01	1.206823e-06
2.900000000000000e-01	1.503455e-06
2.999999999999998e-01	1.872245e-06
3.100000000000005e-01	2.330424e-06
3.200000000000003e-01	2.899158e-06
3.300000000000001e-01	3.604361e-06
3.399999999999999e-01	4.477617e-06
3.500000000000005e-01	5.557217e-06
3.600000000000003e-01	6.889267e-06
3.700000000000001e-01	8.528840e-06
3.799999999999999e-01	1.054107e-05
3.899999999999997e-01	1.300204e-05
4.000000000000004e-01	1.599940e-05
4.100000000000001e-01	1.963228e-05
4.199999999999999e-01	2.401057e-05
4.299999999999997e-01	2.925303e-05
4.400000000000004e-01	3.548435e-05
4.500000000000002e-01	4.283093e-05
4.600000000000000e-01	5.141582e-05
4.699999999999998e-01	6.135300e-05
4.800000000000004e-01	7.274179e-05
4.900000000000002e-01	8.566197e-05
5.000000000000000e-01	1.001704e-04
5.099999999999998e-01	1.162990e-04
5.200000000000005e-01	1.340553e-04
5.300000000000002e-01	1.534239e-04
5.400000000000000e-01	1.743695e-04
5.499999999999998e-01	1.968409e-04
5.600000000000005e-01	2.207747e-04
5.700000000000003e-01	2.460991e-04
5.800000000000001e-01	2.727376e-04
5.899999999999999e-01	3.006113e-04
6.000000000000005e-01	3.296417e-04
6.100000000000003e-01	3.597520e-04
6.200000000000001e-01	3.908682e-04
6.299999999999999e-01	4.229203e-04
6.399999999999997e-01	4.558423e-04
6.500000000000004e-01	4.895725e-04
6.600000000000001e-01	5.240536e-04
6.699999999999999e-01	5.592328e-04
6.799999999999997e-01	5.950612e-04
6.900000000000004e-01	6.314939e-04
7.000000000000002e-01	6.684894e-04
7.100000000000000e-01	7.060099e-04
7.199999999999998e-01	7.440205e-04
7.300000000000004e-01	7.824893e-04
7.400000000000002e-01	8.213868e-04
7.500000000000000e-01	8.606860e-04
7.599999999999998e-01	9.003622e-04
7.700000000000005e-01	9.403924e-04
7.800000000000002e-01	9.807557e-04
7.900000000000000e-01	1.021433e-03
7.999999999999998e-01	1.062405e-03
8.100000000000005e-01	1.103657e-03
8.200000000000003e-01	1.145172e-03
8.300000000000001e-01	1.186938e-03
8.399999999999999e-01	1.228939e-03
8.500000000000005e-01	1.271165e-03
8.600000000000003e-01	1.313603e-03
8.700000000000001e-01	1.356244e-03
8.799999999999999e-01	1.399078e-03
8.899999999999997e-01	1.442094e-03
9.000000000000004e-01	1.485285e-03
9.100000000000001e-01	1.528642e-03
9.199999999999999e-01	1.572159e-03
9.299999999999997e-01	1.615827e-03
9.400000000000004e-01	1.659641e-03
9.500000000000002e-01	1.703594e-03
9.600000000000000e-01	1.747680e-03
9.699999999999998e-01	1.791894e-03
9.800000000000004e-01	1.836230e-03
9.900000000000002e-01	1.880684e-03
1.000000000000000e+00	1.925250e-03
1.010000000000000e+00	1.969926e-03
1.020000000000000e+00	2.014706e-03
1.030000000000000e+00	2.059586e-03
1.040000000000000e+00	2.104564e-03
1.050000000000000e+00	2.149635e-03
1.060000000000000e+00	2.194796e-03
1.070000000000000e+00	2.240044e-03
1.080000000000000e+00	2.285375e-03
1.090000000000000e+00	2.330788e-03
1.100000000000001e+00	2.376280e-03
1.110000000000000e+00	2.421847e-03
1.120000000000000e+00	2.467487e-03
1.130000000000000e+00	2.513198e-03
1.140000000000001e+00	2.558978e-03
1.150000000000000e+00	2.604824e-03
1.160000000000000e+00	2.650735e-03
1.170000000000000e+00	2.696709e-03
1.180000000000000e+00	2.742743e-03
1.190000000000000e+00	2.788836e-03
1.200000000000000e+00	2.834986e-03
1.210000000000000e+00	2.881192e-03
1.220000000000000e+00	2.927451e-03
1.230000000000000e+00	2.973763e-03
1.240000000000000e+00	3.020126e-03
1.250000000000000e+00	3.066539e-03
1.260000000000000e+00	3.113000e-03
1.270000000000000e+00	3.159508e-03
1.280000000000000e+00	3.206062e-03
1.290000000000000e+00	3.252660e-03
1.300000000000000e+00	3.299301e-03
1.310000000000000e+00	3.345985e-03
1.320000000000000e+00	3.392711e-03
1.330000000000000e+00	3.439476e-03
1.340000000000000e+00	3.486281e-03
1.350000000000001e+00	3.533123e-03
1.360000000000000e+00	3.580004e-03
1.370000000000000e+00	3.626920e-03
1.380000000000000e+00	3.673873e-03
1.390000000000001e+00	3.720860e-03
1.400000000000000e+00	3.767881e-03
1.410000000000000e+00	3.814935e-03
1.420000000000000e+00	3.862022e-03
1.430000000000000e+00	3.909140e-03
1.440000000000000e+00	3.956290e-03
1.450000000000000e+00	4.003470e-03
1.460000000000000e+00	4.050680e-03
1.470000000000000e+00	4.097919e-03
1.480000000000000e+00	4.145186e-03
1.490000000000000e+00	4.192481e-03
1.500000000000000e+00	4.239804e-03
1.510000000000000e+00	4.287153e-03
1.520000000000000e+00	4.334528e-03
1.530000000000000e+00	4.381929e-03
1.540000000000000e+00	4.429355e-03
1.550000000000000e+00	4.476806e-03
1.560000000000000e+00	4.524281e-03
1.570000000000000e+00	4.571780e-03
1.580000000000000e+00	4.619302e-03
1.590000000000000e+00	4.666847e-03
1.600000000000001e+00	4.714414e-03
1.610000000000000e+00	4.762003e-03
1.620000000000000e+00	4.809614e-03
1.630000000000000e+00	4.857246e-03
1.640000000000001e+00	4.904898e-03
1.650000000000000e+00	4.952571e-03
1.660000000000000e+00	5.000264e-03
1.670000000000000e+00	5.047977e-03
1.680000000000000e+00	5.095710e-03
1.690000000000000e+00	5.143460e-03
1.700000000000000e+00	5.191230e-03
1.710000000000000e+00	5.239018e-03
1.720000000000000e+00	5.286824e-03
1.730000000000000e+00	5.334648e-03
1.740000000000000e+00	5.382489e-03
1.750000000000000e+00	5.430348e-03
1.760000000000000e+00	5.478223e-03
1.770000000000000e+00	5.526115e-03
1.780000000000000e+00	5.574023e-03
1.790000000000000e+00	5.621947e-03
1.800000000000000e+00	5.669887e-03
1.810000000000000e+00	5.717842e-03
