V1	Ix(D1:+)
1.130000000000000e+00	2.268475e-03
1.140000000000001e+00	2.315805e-03
1.150000000000000e+00	2.363185e-03
1.160000000000000e+00	2.410616e-03
1.170000000000000e+00	2.458093e-03
1.180000000000000e+00	2.505617e-03
1.190000000000000e+00	2.553185e-03
1.200000000000000e+00	2.600795e-03
1.210000000000000e+00	2.648447e-03
1.220000000000000e+00	2.696139e-03
1.230000000000000e+00	2.743870e-03
1.240000000000000e+00	2.791638e-03
1.250000000000000e+00	2.839442e-03
1.260000000000000e+00	2.887281e-03
1.270000000000000e+00	2.935154e-03
1.280000000000000e+00	2.983061e-03
1.290000000000000e+00	3.030999e-03
1.300000000000000e+00	3.078968e-03
1.310000000000000e+00	3.126968e-03
1.320000000000000e+00	3.174996e-03
1.330000000000000e+00	3.223053e-03
1.340000000000000e+00	3.271138e-03
1.350000000000001e+00	3.319250e-03
1.360000000000000e+00	3.367388e-03
1.370000000000000e+00	3.415552e-03
1.380000000000000e+00	3.463740e-03
1.390000000000001e+00	3.511952e-03
1.400000000000000e+00	3.560188e-03
1.410000000000000e+00	3.608447e-03
1.420000000000000e+00	3.656727e-03
1.430000000000000e+00	3.705031e-03
1.440000000000000e+00	3.753355e-03
1.450000000000000e+00	3.801699e-03
1.460000000000000e+00	3.850065e-03
1.470000000000000e+00	3.898449e-03
1.480000000000000e+00	3.946854e-03
1.490000000000000e+00	3.995277e-03
1.500000000000000e+00	4.043718e-03
1.510000000000000e+00	4.092177e-03
1.520000000000000e+00	4.140655e-03
1.530000000000000e+00	4.189149e-03
1.540000000000000e+00	4.237660e-03
1.550000000000000e+00	4.286187e-03
1.560000000000000e+00	4.334731e-03
1.570000000000000e+00	4.383290e-03
1.580000000000000e+00	4.431865e-03
1.590000000000000e+00	4.480455e-03
1.600000000000001e+00	4.529059e-03
1.610000000000000e+00	4.577678e-03
1.620000000000000e+00	4.626311e-03
1.630000000000000e+00	4.674959e-03
1.640000000000001e+00	4.723620e-03
1.650000000000000e+00	4.772294e-03
1.660000000000000e+00	4.820981e-03
1.670000000000000e+00	4.869681e-03
1.680000000000000e+00	4.918394e-03
1.690000000000000e+00	4.967119e-03
1.700000000000000e+00	5.015856e-03
1.710000000000000e+00	5.064605e-03
1.720000000000000e+00	5.113367e-03
1.730000000000000e+00	5.162138e-03
1.740000000000000e+00	5.210922e-03
1.750000000000000e+00	5.259717e-03
1.760000000000000e+00	5.308522e-03
1.770000000000000e+00	5.357339e-03
1.780000000000000e+00	5.406165e-03
1.790000000000000e+00	5.455002e-03
