V1	V(N002,N003)	I(D1)
-2.320000000000000e+00	-2.319999e+00	-2.522320e-09
-2.310000000000000e+00	-2.309999e+00	-2.522310e-09
-2.300000000000000e+00	-2.299999e+00	-2.522300e-09
-2.290000000000000e+00	-2.289999e+00	-2.522290e-09
-2.280000000000000e+00	-2.279999e+00	-2.522280e-09
-2.270000000000000e+00	-2.270000e+00	-2.522270e-09
-2.260000000000000e+00	-2.260000e+00	-2.522260e-09
-2.250000000000000e+00	-2.250000e+00	-2.522250e-09
-2.240000000000000e+00	-2.240000e+00	-2.522240e-09
-2.230000000000000e+00	-2.230000e+00	-2.522230e-09
-2.220000000000000e+00	-2.220000e+00	-2.522220e-09
-2.210000000000000e+00	-2.210000e+00	-2.522210e-09
-2.200000000000000e+00	-2.200000e+00	-2.522200e-09
-2.190000000000000e+00	-2.190000e+00	-2.522190e-09
-2.180000000000000e+00	-2.180000e+00	-2.522180e-09
-2.170000000000000e+00	-2.170000e+00	-2.522170e-09
-2.160000000000000e+00	-2.160000e+00	-2.522160e-09
-2.150000000000000e+00	-2.149999e+00	-2.522150e-09
-2.140000000000000e+00	-2.139999e+00	-2.522140e-09
-2.130000000000000e+00	-2.129999e+00	-2.522130e-09
-2.120000000000000e+00	-2.119999e+00	-2.522120e-09
-2.110000000000000e+00	-2.109999e+00	-2.522110e-09
-2.100000000000000e+00	-2.099999e+00	-2.522100e-09
-2.090000000000000e+00	-2.089999e+00	-2.522090e-09
-2.080000000000000e+00	-2.079999e+00	-2.522080e-09
-2.070000000000000e+00	-2.069999e+00	-2.522070e-09
-2.060000000000000e+00	-2.059999e+00	-2.522060e-09
-2.050000000000000e+00	-2.049999e+00	-2.522050e-09
-2.040000000000000e+00	-2.039999e+00	-2.522040e-09
-2.030000000000000e+00	-2.029999e+00	-2.522030e-09
-2.020000000000000e+00	-2.020000e+00	-2.522020e-09
-2.010000000000000e+00	-2.010000e+00	-2.522010e-09
-2.000000000000000e+00	-2.000000e+00	-2.522000e-09
-1.990000000000000e+00	-1.990000e+00	-2.521990e-09
-1.980000000000000e+00	-1.980000e+00	-2.521980e-09
-1.970000000000000e+00	-1.970000e+00	-2.521970e-09
-1.960000000000000e+00	-1.959999e+00	-2.521960e-09
-1.950000000000000e+00	-1.949999e+00	-2.521950e-09
-1.940000000000000e+00	-1.939999e+00	-2.521940e-09
-1.930000000000000e+00	-1.929999e+00	-2.521930e-09
-1.920000000000000e+00	-1.919999e+00	-2.521920e-09
-1.910000000000000e+00	-1.909999e+00	-2.521910e-09
-1.900000000000000e+00	-1.899999e+00	-2.521900e-09
-1.890000000000000e+00	-1.890000e+00	-2.521890e-09
-1.880000000000000e+00	-1.880000e+00	-2.521880e-09
-1.870000000000000e+00	-1.870000e+00	-2.521870e-09
-1.860000000000000e+00	-1.860000e+00	-2.521860e-09
-1.850000000000000e+00	-1.850000e+00	-2.521850e-09
-1.840000000000000e+00	-1.839999e+00	-2.521840e-09
-1.830000000000000e+00	-1.829999e+00	-2.521830e-09
-1.820000000000000e+00	-1.819999e+00	-2.521820e-09
-1.810000000000000e+00	-1.809999e+00	-2.521810e-09
-1.800000000000000e+00	-1.799999e+00	-2.521800e-09
-1.790000000000000e+00	-1.789999e+00	-2.521790e-09
-1.780000000000000e+00	-1.779999e+00	-2.521780e-09
-1.770000000000000e+00	-1.770000e+00	-2.521770e-09
-1.760000000000000e+00	-1.760000e+00	-2.521760e-09
-1.750000000000000e+00	-1.750000e+00	-2.521750e-09
-1.740000000000000e+00	-1.740000e+00	-2.521740e-09
-1.730000000000000e+00	-1.730000e+00	-2.521730e-09
-1.720000000000000e+00	-1.720000e+00	-2.521720e-09
-1.710000000000000e+00	-1.709999e+00	-2.521710e-09
-1.700000000000000e+00	-1.699999e+00	-2.521700e-09
-1.690000000000000e+00	-1.689999e+00	-2.521690e-09
-1.680000000000000e+00	-1.679999e+00	-2.521680e-09
-1.670000000000000e+00	-1.669999e+00	-2.521670e-09
-1.660000000000000e+00	-1.659999e+00	-2.521660e-09
-1.650000000000000e+00	-1.649999e+00	-2.521650e-09
-1.640000000000000e+00	-1.640000e+00	-2.521640e-09
-1.630000000000000e+00	-1.630000e+00	-2.521630e-09
-1.620000000000000e+00	-1.620000e+00	-2.521620e-09
-1.610000000000000e+00	-1.610000e+00	-2.521610e-09
-1.600000000000000e+00	-1.600000e+00	-2.521600e-09
-1.590000000000000e+00	-1.589999e+00	-2.521590e-09
-1.580000000000000e+00	-1.579999e+00	-2.521580e-09
-1.570000000000000e+00	-1.569999e+00	-2.521570e-09
-1.560000000000000e+00	-1.559999e+00	-2.521560e-09
-1.550000000000000e+00	-1.549999e+00	-2.521550e-09
-1.540000000000000e+00	-1.539999e+00	-2.521540e-09
-1.530000000000000e+00	-1.529999e+00	-2.521530e-09
-1.520000000000000e+00	-1.520000e+00	-2.521520e-09
-1.510000000000000e+00	-1.510000e+00	-2.521510e-09
-1.500000000000000e+00	-1.500000e+00	-2.521500e-09
-1.490000000000000e+00	-1.490000e+00	-2.521490e-09
-1.480000000000000e+00	-1.480000e+00	-2.521480e-09
-1.470000000000000e+00	-1.470000e+00	-2.521470e-09
-1.460000000000000e+00	-1.459999e+00	-2.521460e-09
-1.450000000000000e+00	-1.449999e+00	-2.521450e-09
-1.440000000000000e+00	-1.439999e+00	-2.521440e-09
-1.430000000000000e+00	-1.429999e+00	-2.521430e-09
-1.420000000000000e+00	-1.419999e+00	-2.521420e-09
-1.410000000000000e+00	-1.409999e+00	-2.521410e-09
-1.400000000000000e+00	-1.399999e+00	-2.521400e-09
-1.390000000000000e+00	-1.390000e+00	-2.521390e-09
-1.380000000000000e+00	-1.380000e+00	-2.521380e-09
-1.370000000000000e+00	-1.370000e+00	-2.521370e-09
-1.360000000000000e+00	-1.360000e+00	-2.521360e-09
-1.350000000000000e+00	-1.350000e+00	-2.521350e-09
-1.340000000000000e+00	-1.339999e+00	-2.521340e-09
-1.330000000000000e+00	-1.329999e+00	-2.521330e-09
-1.320000000000000e+00	-1.319999e+00	-2.521320e-09
-1.310000000000000e+00	-1.309999e+00	-2.521310e-09
-1.300000000000000e+00	-1.299999e+00	-2.521300e-09
-1.290000000000000e+00	-1.289999e+00	-2.521290e-09
-1.280000000000000e+00	-1.279999e+00	-2.521280e-09
-1.270000000000000e+00	-1.270000e+00	-2.521270e-09
-1.260000000000000e+00	-1.260000e+00	-2.521260e-09
-1.250000000000000e+00	-1.250000e+00	-2.521250e-09
-1.240000000000000e+00	-1.240000e+00	-2.521240e-09
-1.230000000000000e+00	-1.230000e+00	-2.521230e-09
-1.220000000000000e+00	-1.220000e+00	-2.521220e-09
-1.210000000000000e+00	-1.209999e+00	-2.521210e-09
-1.200000000000000e+00	-1.199999e+00	-2.521200e-09
-1.190000000000000e+00	-1.189999e+00	-2.521190e-09
